Order_ID,Date,Product,Category,Region,Sales_Channel,Customer_Segment,Quantity,Sales,Profit
ORD00026,2025-04-06,Wireless Mouse,Electronics,South,Online,Small Business,2,157384,12208.89
ORD00027,2025-08-03,Wireless Mouse,Electronics,South,Offline,Corporate,6,209274,23248.53
ORD00028,2025-02-07,Notebook,Stationery,East,Online,Corporate,1,284,49.32
ORD00029,2025-05-06,Wireless Mouse,Electronics,North,Offline,Small Business,6,228318,48360.99
ORD00030,2025-03-10,Wireless Mouse,Electronics,South,Offline,Consumer,5,79145,9086.16
ORD00031,2025-09-16,Standing Desk,Furniture,North,Online,Corporate,8,25312,6093.87
ORD00032,2025-11-23,Mechanical Keyboard,Electronics,North,Online,Small Business,5,109390,5712.79
ORD00033,2025-07-09,Laptop Pro 14,Electronics,North,Offline,Consumer,3,171099,22905.0
ORD00034,2025-12-08,Office Chair,Furniture,South,Online,Consumer,2,39692,10436.05
ORD00035,2025-01-13,Gel Pen Pack,Stationery,North,Offline,Consumer,3,1764,152.79
ORD00036,2025-04-24,Backpack,Accessories,South,Offline,Corporate,4,8656,876.61
ORD00037,2025-02-05,Standing Desk,Furniture,East,Online,Consumer,5,112600,23228.16
ORD00038,2025-04-02,Standing Desk,Furniture,East,Offline,Small Business,5,25260,5495.7
ORD00039,2025-03-01,Water Bottle,Accessories,North,Online,Corporate,7,4641,988.63
ORD00040,2025-02-05,Gel Pen Pack,Stationery,West,Offline,Corporate,6,2010,334.94
ORD00041,2025-10-11,Standing Desk,Furniture,East,Offline,Small Business,3,45831,8779.77
ORD00042,2025-06-05,Laptop Pro 14,Electronics,South,Offline,Small Business,5,141245,21414.27
ORD00043,2025-12-04,Mechanical Keyboard,Electronics,South,Offline,Consumer,2,75792,18056.49
ORD00044,2025-03-17,Office Chair,Furniture,South,Offline,Corporate,1,9523,1473.64
ORD00045,2025-05-05,Gel Pen Pack,Stationery,West,Online,Small Business,3,2850,257.79
ORD00046,2025-03-04,Office Chair,Furniture,West,Offline,Small Business,8,133800,25014.45
ORD00047,2025-03-23,Backpack,Accessories,West,Online,Corporate,8,20568,4651.19
ORD00048,2025-02-09,Backpack,Accessories,North,Online,Consumer,5,14595,3727.51
ORD00049,2025-07-16,Office Chair,Furniture,West,Offline,Consumer,3,10812,1363.42
ORD00050,2025-08-04,Office Chair,Furniture,East,Offline,Corporate,7,170030,27154.7
ORD00051,2025-10-03,Gel Pen Pack,Stationery,West,Offline,Small Business,4,2552,412.65
ORD00052,2025-03-26,Gel Pen Pack,Stationery,North,Online,Small Business,8,9384,2426.64
ORD00053,2025-03-11,Gel Pen Pack,Stationery,West,Offline,Corporate,8,4896,613.43
ORD00054,2025-05-23,Gel Pen Pack,Stationery,North,Offline,Consumer,7,7301,1622.83
ORD00055,2025-11-30,Wireless Mouse,Electronics,South,Online,Corporate,1,4767,919.59
ORD00056,2025-10-16,Wireless Mouse,Electronics,North,Online,Corporate,4,246608,21847.37
ORD00057,2025-10-24,Wireless Mouse,Electronics,South,Online,Small Business,1,41588,11084.79
ORD00058,2025-02-22,Office Chair,Furniture,East,Online,Small Business,5,27330,4715.28
ORD00059,2025-01-07,Notebook,Stationery,West,Online,Corporate,7,6769,1327.97
ORD00060,2025-09-25,Mechanical Keyboard,Electronics,East,Offline,Consumer,5,356195,85457.93
ORD00061,2025-05-23,Wireless Mouse,Electronics,East,Online,Corporate,8,261304,14790.07
ORD00062,2025-07-01,Office Chair,Furniture,South,Online,Consumer,5,53315,2790.23
ORD00063,2025-09-08,Gel Pen Pack,Stationery,North,Offline,Consumer,4,4340,1008.51
ORD00064,2025-12-21,Gel Pen Pack,Stationery,East,Offline,Small Business,4,3340,592.18
ORD00065,2025-06-19,Water Bottle,Accessories,South,Offline,Consumer,6,14154,1458.2
ORD00066,2025-12-20,Water Bottle,Accessories,East,Online,Consumer,3,7695,1667.16
ORD00067,2025-04-27,Standing Desk,Furniture,North,Online,Small Business,6,68424,5413.3
ORD00068,2025-12-24,Standing Desk,Furniture,West,Offline,Consumer,3,14583,2303.55
ORD00069,2025-05-10,Laptop Pro 14,Electronics,North,Online,Consumer,8,125224,8394.88
ORD00070,2025-06-05,USB-C Hub,Electronics,West,Offline,Corporate,2,66460,15180.1
ORD00071,2025-10-29,Standing Desk,Furniture,South,Online,Corporate,7,140924,37759.99
ORD00072,2025-03-22,Wireless Mouse,Electronics,West,Offline,Corporate,4,93928,4754.2
ORD00073,2025-04-29,Laptop Pro 14,Electronics,East,Online,Corporate,5,188780,39284.84
ORD00074,2025-10-06,Wireless Mouse,Electronics,East,Offline,Corporate,4,80912,5155.45
ORD00075,2025-08-28,Wireless Mouse,Electronics,North,Online,Corporate,5,267285,43720.58
ORD00076,2025-11-06,Notebook,Stationery,East,Online,Consumer,5,2740,766.93
ORD00077,2025-09-23,Backpack,Accessories,West,Offline,Corporate,8,34624,9448.29
ORD00078,2025-06-14,Notebook,Stationery,West,Online,Corporate,2,1846,214.67
ORD00079,2025-06-11,Wireless Mouse,Electronics,North,Offline,Corporate,5,215360,51628.95
ORD00080,2025-04-07,Laptop Pro 14,Electronics,South,Offline,Corporate,6,396228,38362.16
ORD00081,2025-03-04,Backpack,Accessories,West,Online,Consumer,1,2845,502.69
ORD00082,2025-08-25,Wireless Mouse,Electronics,West,Offline,Corporate,2,41762,8863.76
ORD00083,2025-08-22,Office Chair,Furniture,East,Offline,Corporate,3,23235,5779.15
ORD00084,2025-05-17,Water Bottle,Accessories,West,Offline,Corporate,1,1517,231.65
ORD00085,2025-10-06,Water Bottle,Accessories,South,Offline,Consumer,7,15792,2866.46
ORD00086,2025-08-31,Notebook,Stationery,South,Offline,Consumer,7,2737,744.22
ORD00087,2025-02-21,Backpack,Accessories,East,Offline,Small Business,8,12512,840.94
ORD00088,2025-11-29,Gel Pen Pack,Stationery,West,Online,Small Business,2,2344,631.6
ORD00089,2025-05-01,Wireless Mouse,Electronics,North,Offline,Consumer,5,152585,34314.08
ORD00090,2025-01-15,Standing Desk,Furniture,South,Online,Small Business,1,3338,454.68
ORD00091,2025-10-17,Gel Pen Pack,Stationery,South,Offline,Small Business,3,723,139.2
ORD00092,2025-04-29,Mechanical Keyboard,Electronics,West,Offline,Small Business,8,271912,69813.12
ORD00093,2025-03-22,Water Bottle,Accessories,West,Offline,Consumer,2,7550,1576.23
ORD00094,2025-09-05,Gel Pen Pack,Stationery,East,Online,Small Business,2,1630,453.66
ORD00095,2025-05-21,Gel Pen Pack,Stationery,East,Online,Small Business,1,180,43.48
ORD00096,2025-04-23,Notebook,Stationery,North,Offline,Corporate,4,1440,371.21
ORD00097,2025-10-24,Laptop Pro 14,Electronics,South,Online,Consumer,6,107544,23866.23
ORD00098,2025-07-07,Water Bottle,Accessories,East,Online,Corporate,5,13585,3011.91
ORD00099,2025-03-14,Wireless Mouse,Electronics,North,Offline,Small Business,4,211156,48957.97
ORD00100,2025-08-21,Wireless Mouse,Electronics,South,Offline,Consumer,6,210372,15760.99
ORD00101,2025-10-15,USB-C Hub,Electronics,East,Offline,Consumer,6,178290,46205.49
ORD00102,2025-01-24,Mechanical Keyboard,Electronics,South,Offline,Corporate,1,40593,4221.83
ORD00103,2025-12-10,Notebook,Stationery,West,Offline,Consumer,7,6503,1572.1
ORD00104,2025-04-22,Notebook,Stationery,East,Offline,Consumer,8,6576,1812.43
ORD00105,2025-05-22,Gel Pen Pack,Stationery,North,Online,Corporate,4,1068,211.03
ORD00106,2025-03-06,Office Chair,Furniture,South,Offline,Consumer,4,78640,18637.85
ORD00107,2025-01-02,USB-C Hub,Electronics,North,Online,Consumer,5,98320,22973.27
ORD00108,2025-07-03,Laptop Pro 14,Electronics,South,Offline,Small Business,4,311528,34590.36
ORD00109,2025-02-02,Wireless Mouse,Electronics,South,Online,Small Business,8,475648,73231.36
ORD00110,2025-06-04,Water Bottle,Accessories,North,Offline,Small Business,8,28720,4251.79
ORD00111,2025-02-07,Backpack,Accessories,East,Offline,Small Business,2,1676,132.44
ORD00112,2025-05-31,Water Bottle,Accessories,North,Online,Corporate,8,8896,2067.54
ORD00113,2025-04-27,Backpack,Accessories,East,Offline,Corporate,7,25949,5651.97
ORD00114,2025-07-11,Standing Desk,Furniture,North,Offline,Consumer,3,11097,792.8
ORD00115,2025-01-31,Water Bottle,Accessories,North,Offline,Small Business,6,22584,5638.35
ORD00116,2025-06-30,Standing Desk,Furniture,South,Online,Corporate,2,36252,7288.44
ORD00117,2025-07-08,Water Bottle,Accessories,North,Offline,Consumer,2,7630,1864.66
ORD00118,2025-05-20,Mechanical Keyboard,Electronics,West,Online,Consumer,5,226205,56566.73
ORD00119,2025-02-16,Laptop Pro 14,Electronics,East,Offline,Small Business,4,200032,17243.59
ORD00120,2025-02-13,USB-C Hub,Electronics,West,Offline,Small Business,1,21092,2374.61
ORD00121,2025-08-01,Backpack,Accessories,East,Offline,Small Business,5,15635,2327.74
ORD00122,2025-01-24,Standing Desk,Furniture,South,Online,Corporate,4,84552,8203.01
ORD00123,2025-06-17,Standing Desk,Furniture,South,Offline,Consumer,2,35596,2837.45
ORD00124,2025-01-22,Gel Pen Pack,Stationery,West,Offline,Corporate,7,1673,305.2
ORD00125,2025-07-27,Wireless Mouse,Electronics,North,Online,Corporate,1,43268,3040.44
ORD00126,2025-07-25,USB-C Hub,Electronics,South,Online,Small Business,2,105146,13312.09
ORD00127,2025-09-29,Wireless Mouse,Electronics,East,Online,Consumer,4,185972,13695.92
ORD00128,2025-03-20,USB-C Hub,Electronics,West,Offline,Small Business,2,47836,10692.42
ORD00129,2025-03-19,Notebook,Stationery,North,Offline,Small Business,8,7880,1837.27
ORD00130,2025-06-08,Wireless Mouse,Electronics,North,Online,Small Business,8,479464,115689.98
ORD00131,2025-09-17,USB-C Hub,Electronics,South,Offline,Small Business,7,429436,111258.92
ORD00132,2025-09-14,Backpack,Accessories,North,Online,Consumer,3,9339,2577.08
ORD00133,2025-12-29,Office Chair,Furniture,East,Offline,Corporate,8,149376,19971.05
ORD00134,2025-12-14,Notebook,Stationery,West,Offline,Corporate,1,755,134.64
ORD00135,2025-03-18,USB-C Hub,Electronics,West,Online,Small Business,6,68292,8287.46
ORD00136,2025-06-08,Wireless Mouse,Electronics,West,Offline,Consumer,7,306278,60822.43
ORD00137,2025-06-08,Notebook,Stationery,South,Online,Consumer,3,3225,329.29
ORD00138,2025-02-21,Standing Desk,Furniture,South,Online,Small Business,1,21751,1859.23
ORD00139,2025-01-23,Backpack,Accessories,West,Online,Small Business,7,27566,5249.58
ORD00140,2025-06-08,Office Chair,Furniture,West,Offline,Consumer,8,108424,24609.09
ORD00141,2025-11-06,Office Chair,Furniture,North,Online,Corporate,3,9627,1709.22
ORD00142,2025-03-24,Wireless Mouse,Electronics,South,Offline,Corporate,5,297965,21183.56
ORD00143,2025-08-01,Laptop Pro 14,Electronics,North,Offline,Consumer,1,52664,7310.72
ORD00144,2025-06-13,Laptop Pro 14,Electronics,West,Online,Small Business,2,89294,10356.52
ORD00145,2025-08-18,Backpack,Accessories,West,Online,Corporate,1,2066,500.06
ORD00146,2025-06-04,Office Chair,Furniture,West,Online,Small Business,2,18626,1200.36
ORD00147,2025-10-22,Water Bottle,Accessories,South,Offline,Consumer,4,1248,238.87
ORD00148,2025-09-26,Wireless Mouse,Electronics,North,Offline,Corporate,6,57420,13256.83
ORD00149,2025-11-22,Laptop Pro 14,Electronics,East,Online,Small Business,7,347403,80375.02
ORD00150,2025-10-25,Wireless Mouse,Electronics,South,Offline,Small Business,6,109116,13952.21
ORD00151,2025-11-20,Backpack,Accessories,North,Online,Consumer,3,1806,212.19
ORD00152,2025-06-08,Notebook,Stationery,South,Offline,Corporate,7,4186,934.55
ORD00153,2025-12-02,Laptop Pro 14,Electronics,West,Offline,Corporate,6,219066,55770.24
ORD00154,2025-09-12,Mechanical Keyboard,Electronics,North,Offline,Small Business,8,390784,84889.5
ORD00155,2025-10-07,Mechanical Keyboard,Electronics,East,Offline,Small Business,5,214005,43231.45
ORD00156,2025-03-27,Gel Pen Pack,Stationery,West,Offline,Small Business,8,1328,254.2
ORD00157,2025-02-08,Laptop Pro 14,Electronics,West,Online,Consumer,7,338233,28018.98
ORD00158,2025-05-01,Wireless Mouse,Electronics,East,Offline,Corporate,6,289002,59587.67
ORD00159,2025-10-21,Wireless Mouse,Electronics,South,Online,Consumer,3,210291,41931.81
ORD00160,2025-09-13,Mechanical Keyboard,Electronics,South,Offline,Small Business,7,520233,110252.3
ORD00161,2025-04-13,Backpack,Accessories,West,Online,Small Business,2,3428,879.95
ORD00162,2025-12-08,Notebook,Stationery,South,Online,Corporate,6,7140,1820.74
ORD00163,2025-04-25,Water Bottle,Accessories,East,Offline,Small Business,2,8694,487.26
ORD00164,2025-11-10,Mechanical Keyboard,Electronics,West,Online,Consumer,2,18634,3184.74
ORD00165,2025-11-25,Notebook,Stationery,South,Online,Corporate,2,2278,181.14
ORD00166,2025-01-29,Water Bottle,Accessories,South,Offline,Small Business,2,3296,287.58
ORD00167,2025-02-10,Standing Desk,Furniture,North,Online,Small Business,5,111545,21612.42
ORD00168,2025-03-20,USB-C Hub,Electronics,East,Online,Small Business,3,134856,9262.08
ORD00169,2025-11-13,Gel Pen Pack,Stationery,East,Offline,Consumer,1,1197,236.57
ORD00170,2025-06-02,Gel Pen Pack,Stationery,West,Offline,Consumer,8,1616,244.19
ORD00171,2025-11-07,Notebook,Stationery,East,Online,Corporate,3,2361,189.06
ORD00172,2025-08-27,Office Chair,Furniture,East,Offline,Small Business,2,32464,2346.07
ORD00173,2025-05-08,Gel Pen Pack,Stationery,West,Offline,Corporate,3,2160,487.12
ORD00174,2025-09-12,Standing Desk,Furniture,South,Offline,Consumer,1,14385,3917.58
ORD00175,2025-05-25,Laptop Pro 14,Electronics,North,Offline,Consumer,8,632136,109636.96
ORD00176,2025-07-07,Standing Desk,Furniture,South,Offline,Small Business,7,20874,3781.63
ORD00177,2025-02-07,Standing Desk,Furniture,North,Offline,Corporate,7,113799,9057.56
ORD00178,2025-10-13,Notebook,Stationery,North,Online,Consumer,6,6732,1110.9
ORD00179,2025-08-31,Notebook,Stationery,East,Online,Corporate,8,9080,1138.92
ORD00180,2025-06-03,USB-C Hub,Electronics,East,Offline,Consumer,6,403164,85878.03
ORD00181,2025-06-19,Notebook,Stationery,East,Online,Small Business,2,1420,265.95
ORD00182,2025-10-26,Laptop Pro 14,Electronics,South,Online,Small Business,8,184392,44066.39
ORD00183,2025-04-08,Wireless Mouse,Electronics,South,Offline,Small Business,1,58507,8482.39
ORD00184,2025-08-30,USB-C Hub,Electronics,West,Offline,Corporate,1,18798,2345.26
ORD00185,2025-08-24,Mechanical Keyboard,Electronics,South,Offline,Small Business,6,433806,40873.53
ORD00186,2025-04-26,Standing Desk,Furniture,East,Offline,Corporate,5,122990,15117.85
ORD00187,2025-10-21,Wireless Mouse,Electronics,North,Offline,Corporate,7,366884,21893.91
ORD00188,2025-09-03,Standing Desk,Furniture,South,Online,Small Business,4,76592,16093.47
ORD00189,2025-05-03,USB-C Hub,Electronics,North,Online,Corporate,4,29412,5786.14
ORD00190,2025-08-30,Notebook,Stationery,West,Offline,Small Business,2,806,161.33
ORD00191,2025-05-28,Office Chair,Furniture,South,Online,Consumer,6,135984,27200.7
ORD00192,2025-04-01,Gel Pen Pack,Stationery,North,Offline,Small Business,1,461,116.01
ORD00193,2025-02-24,USB-C Hub,Electronics,South,Offline,Corporate,6,227988,37298.8
ORD00194,2025-02-27,Office Chair,Furniture,East,Offline,Small Business,6,99222,5282.52
ORD00195,2025-03-31,Office Chair,Furniture,North,Online,Consumer,7,128688,18298.36
ORD00196,2025-06-15,Backpack,Accessories,East,Offline,Corporate,4,8916,1361.91
ORD00197,2025-10-21,USB-C Hub,Electronics,North,Offline,Corporate,1,34982,2248.94
ORD00198,2025-07-27,Mechanical Keyboard,Electronics,South,Online,Corporate,5,80445,15394.27
ORD00199,2025-08-21,Mechanical Keyboard,Electronics,South,Online,Small Business,6,331230,77659.8
ORD00200,2025-02-11,USB-C Hub,Electronics,North,Online,Small Business,8,559424,145990.8
ORD00201,2025-04-14,Water Bottle,Accessories,South,Offline,Consumer,3,11757,902.18
ORD00202,2025-08-17,Water Bottle,Accessories,North,Offline,Small Business,1,3703,574.2
ORD00203,2025-01-12,Standing Desk,Furniture,East,Online,Small Business,7,11186,675.82
ORD00204,2025-02-05,Laptop Pro 14,Electronics,West,Offline,Corporate,8,38872,8818.64
ORD00205,2025-07-13,Backpack,Accessories,East,Online,Consumer,7,9723,1947.64
ORD00206,2025-07-21,Water Bottle,Accessories,West,Offline,Consumer,3,8232,1288.23
ORD00207,2025-08-24,Office Chair,Furniture,West,Online,Consumer,6,63192,3627.85
ORD00208,2025-02-04,Office Chair,Furniture,North,Offline,Corporate,2,5200,552.7
ORD00209,2025-10-04,Office Chair,Furniture,East,Offline,Consumer,4,24364,2530.38
ORD00210,2025-03-15,Standing Desk,Furniture,South,Offline,Small Business,4,45384,8080.4
ORD00211,2025-01-25,Backpack,Accessories,East,Offline,Consumer,6,22260,3203.21
ORD00212,2025-08-31,Water Bottle,Accessories,West,Offline,Small Business,4,16372,4263.11
ORD00213,2025-03-10,Water Bottle,Accessories,West,Offline,Consumer,7,21035,4180.55
ORD00214,2025-04-08,Water Bottle,Accessories,South,Offline,Consumer,1,896,83.58
ORD00215,2025-06-05,Notebook,Stationery,South,Offline,Consumer,1,320,83.3
ORD00216,2025-06-14,Water Bottle,Accessories,East,Offline,Corporate,5,16215,1961.0
ORD00217,2025-08-29,Wireless Mouse,Electronics,South,Online,Consumer,6,163944,9921.0
ORD00218,2025-10-11,Standing Desk,Furniture,South,Offline,Small Business,7,45458,4677.82
ORD00219,2025-05-12,Notebook,Stationery,West,Online,Small Business,8,3392,301.65
ORD00220,2025-09-26,Laptop Pro 14,Electronics,South,Online,Small Business,1,10442,1512.53
ORD00221,2025-01-05,Mechanical Keyboard,Electronics,West,Offline,Consumer,4,267948,51473.37
ORD00222,2025-09-30,Laptop Pro 14,Electronics,East,Online,Small Business,7,15771,2731.85
ORD00223,2025-04-02,Gel Pen Pack,Stationery,East,Offline,Corporate,2,768,72.3
ORD00224,2025-02-10,Gel Pen Pack,Stationery,North,Online,Consumer,6,3468,412.67
ORD00225,2025-07-14,Gel Pen Pack,Stationery,North,Offline,Corporate,7,1358,287.43
ORD00226,2025-10-17,Notebook,Stationery,West,Offline,Consumer,2,1100,283.02
ORD00227,2025-12-17,Wireless Mouse,Electronics,East,Online,Consumer,5,359380,94738.41
ORD00228,2025-03-15,USB-C Hub,Electronics,West,Offline,Corporate,7,75488,7949.54
ORD00229,2025-12-19,Mechanical Keyboard,Electronics,North,Offline,Small Business,2,132678,19972.06
ORD00230,2025-11-01,USB-C Hub,Electronics,East,Offline,Corporate,7,304346,49559.34
ORD00231,2025-12-15,Mechanical Keyboard,Electronics,North,Offline,Consumer,7,83524,17875.39
ORD00232,2025-12-31,Gel Pen Pack,Stationery,East,Offline,Corporate,3,2454,174.36
ORD00233,2025-02-22,Standing Desk,Furniture,West,Online,Consumer,3,22920,4082.2
ORD00234,2025-07-01,Wireless Mouse,Electronics,West,Offline,Consumer,2,157880,8342.12
ORD00235,2025-05-05,Water Bottle,Accessories,West,Online,Consumer,3,7506,895.17
ORD00236,2025-08-11,Mechanical Keyboard,Electronics,South,Offline,Small Business,5,279470,37185.92
ORD00237,2025-04-11,USB-C Hub,Electronics,East,Offline,Corporate,8,117768,31588.84
ORD00238,2025-06-21,Backpack,Accessories,South,Offline,Corporate,7,20482,3865.74
ORD00239,2025-07-23,Mechanical Keyboard,Electronics,East,Offline,Corporate,6,233400,29164.22
ORD00240,2025-10-16,Wireless Mouse,Electronics,West,Online,Corporate,4,313296,17604.32
ORD00241,2025-12-21,Standing Desk,Furniture,South,Offline,Small Business,2,47104,9216.71
ORD00242,2025-08-05,Mechanical Keyboard,Electronics,West,Online,Corporate,7,72758,12580.19
ORD00243,2025-11-01,Water Bottle,Accessories,North,Offline,Corporate,2,3324,660.84
ORD00244,2025-02-24,Gel Pen Pack,Stationery,South,Offline,Corporate,1,534,118.43
ORD00245,2025-08-26,Gel Pen Pack,Stationery,North,Online,Small Business,3,3204,377.91
ORD00246,2025-06-28,Mechanical Keyboard,Electronics,West,Online,Corporate,5,228330,36777.79
ORD00247,2025-06-13,Backpack,Accessories,North,Online,Small Business,2,970,237.95
ORD00248,2025-09-22,Office Chair,Furniture,West,Online,Corporate,3,20241,2996.98
ORD00249,2025-04-06,Mechanical Keyboard,Electronics,West,Online,Small Business,7,367843,68494.84
ORD00250,2025-04-16,Office Chair,Furniture,East,Online,Corporate,5,102090,9494.45
ORD00251,2025-05-15,Wireless Mouse,Electronics,North,Offline,Corporate,8,558944,106535.25
ORD00252,2025-11-13,Backpack,Accessories,South,Offline,Consumer,3,4191,511.44
ORD00253,2025-07-11,Mechanical Keyboard,Electronics,West,Online,Corporate,3,202962,36980.77
ORD00254,2025-12-22,Water Bottle,Accessories,East,Offline,Small Business,3,7998,657.98
ORD00255,2025-07-03,Laptop Pro 14,Electronics,West,Offline,Small Business,1,64218,17446.79
ORD00256,2025-08-01,Backpack,Accessories,South,Offline,Consumer,8,39448,2252.4
ORD00257,2025-04-26,Standing Desk,Furniture,North,Offline,Small Business,5,82425,13804.98
ORD00258,2025-10-05,Notebook,Stationery,South,Offline,Consumer,1,527,38.76
ORD00259,2025-05-15,Backpack,Accessories,East,Offline,Consumer,6,13446,1321.37
ORD00260,2025-03-13,USB-C Hub,Electronics,South,Offline,Small Business,4,111296,12760.04
ORD00261,2025-05-29,Standing Desk,Furniture,West,Online,Corporate,5,118795,32245.42
ORD00262,2025-12-26,Mechanical Keyboard,Electronics,West,Offline,Consumer,3,100275,22575.81
ORD00263,2025-11-20,USB-C Hub,Electronics,North,Offline,Small Business,5,274965,53820.11
ORD00264,2025-12-22,Standing Desk,Furniture,North,Offline,Small Business,6,104952,26222.13
ORD00265,2025-02-02,Notebook,Stationery,East,Offline,Small Business,7,3591,401.34
ORD00266,2025-03-08,USB-C Hub,Electronics,West,Online,Consumer,8,366032,26684.53
ORD00267,2025-08-14,Mechanical Keyboard,Electronics,East,Online,Corporate,8,6304,1594.24
ORD00268,2025-12-02,Wireless Mouse,Electronics,East,Online,Corporate,6,201114,12451.18
ORD00269,2025-12-27,Wireless Mouse,Electronics,South,Offline,Consumer,2,1684,135.6
ORD00270,2025-12-23,Laptop Pro 14,Electronics,West,Online,Small Business,6,99036,6565.15
ORD00271,2025-02-22,Wireless Mouse,Electronics,South,Online,Consumer,6,293262,66833.21
ORD00272,2025-10-16,Water Bottle,Accessories,South,Offline,Small Business,1,2045,397.67
ORD00273,2025-04-22,Backpack,Accessories,West,Offline,Consumer,2,6890,901.58
ORD00274,2025-05-22,Office Chair,Furniture,East,Online,Small Business,2,39266,9620.77
ORD00275,2025-09-18,USB-C Hub,Electronics,North,Online,Corporate,4,208188,34106.23
ORD00276,2025-02-06,USB-C Hub,Electronics,West,Offline,Small Business,1,48029,11910.58
ORD00277,2025-08-30,Mechanical Keyboard,Electronics,North,Online,Corporate,2,5774,636.89
ORD00278,2025-05-27,Water Bottle,Accessories,South,Offline,Consumer,7,6825,1346.73
ORD00279,2025-02-10,Standing Desk,Furniture,North,Offline,Small Business,4,76304,14107.13
ORD00280,2025-05-03,Gel Pen Pack,Stationery,North,Offline,Small Business,1,969,149.49
ORD00281,2025-03-03,Mechanical Keyboard,Electronics,East,Offline,Consumer,1,18684,3067.45
ORD00282,2025-03-06,Notebook,Stationery,North,Offline,Small Business,5,3830,431.09
ORD00283,2025-11-18,USB-C Hub,Electronics,South,Offline,Consumer,2,131462,8249.37
ORD00284,2025-02-22,Standing Desk,Furniture,North,Online,Consumer,2,36346,8995.58
ORD00285,2025-07-06,Backpack,Accessories,West,Online,Corporate,7,33803,7934.12
ORD00286,2025-08-02,Office Chair,Furniture,North,Online,Consumer,6,24312,4022.89
ORD00287,2025-01-24,Water Bottle,Accessories,West,Online,Corporate,7,19915,2494.94
ORD00288,2025-05-30,Office Chair,Furniture,South,Online,Consumer,5,83505,23338.9
ORD00289,2025-07-29,Laptop Pro 14,Electronics,North,Offline,Small Business,1,31239,8394.79
ORD00290,2025-02-23,Standing Desk,Furniture,South,Offline,Consumer,4,37216,10088.24
ORD00291,2025-04-29,Laptop Pro 14,Electronics,West,Online,Small Business,7,346661,57631.83
ORD00292,2025-02-01,USB-C Hub,Electronics,West,Offline,Corporate,7,124824,30670.52
ORD00293,2025-05-20,Backpack,Accessories,South,Offline,Corporate,4,4768,408.83
ORD00294,2025-07-28,Notebook,Stationery,East,Online,Consumer,2,1010,122.12
ORD00295,2025-12-18,Mechanical Keyboard,Electronics,South,Offline,Corporate,5,398880,33551.58
ORD00296,2025-01-26,Water Bottle,Accessories,South,Online,Corporate,5,18060,4452.84
ORD00297,2025-03-13,Wireless Mouse,Electronics,West,Offline,Small Business,2,4534,433.32
ORD00298,2025-10-26,Wireless Mouse,Electronics,West,Online,Consumer,5,52640,13558.7
ORD00299,2025-03-04,Notebook,Stationery,West,Offline,Consumer,1,424,101.33
ORD00300,2025-12-16,Gel Pen Pack,Stationery,West,Online,Consumer,7,3633,411.42
ORD00301,2025-11-14,USB-C Hub,Electronics,North,Offline,Corporate,4,157520,25231.1
